,method,n,m,timeGPU,checkGPU,timeCPU,checkCPU
0,0,10000,100000,0.03695940971374512,True,0.49866819381713867,True
1,1,10000,100000,0.010696868000000137,True,0.5658278465270996,True
2,2,10000,100000,0.003926515579223633,True,0.6664445400238037,True
3,3,10000,100000,0.003484964370727539,True,2.0785114765167236,True
4,0,10000,100000,0.003036975860595703,True,0.46474266052246094,True
5,1,10000,100000,0.011429232000001122,True,0.521878719329834,True
6,2,10000,100000,0.0036537647247314453,True,0.6539628505706787,True
7,3,10000,100000,0.0036635398864746094,True,2.2485244274139404,True
8,0,10000,1000000,0.02729487419128418,True,2.0433766841888428,True
9,1,10000,1000000,0.08114515599999095,True,3.5607872009277344,True
10,2,10000,1000000,0.015455484390258789,True,2.8743741512298584,True
11,3,10000,1000000,0.027106046676635742,True,16.45657253265381,True
12,0,10000,1000000,0.0267946720123291,True,2.0453004837036133,True
13,1,10000,1000000,0.07991166400000793,True,3.379356861114502,True
14,2,10000,1000000,0.015360355377197266,True,2.890061616897583,True
15,3,10000,1000000,0.025723695755004883,True,14.668189525604248,True
16,0,10000,5000000,0.08971834182739258,True,8.317116260528564,True
17,1,10000,5000000,0.2101152740000316,True,10.342413902282715,True
18,2,10000,5000000,0.060973167419433594,True,12.632493734359741,True
19,3,10000,5000000,0.10490083694458008,True,45.63150596618652,True
20,0,10000,5000000,0.09019160270690918,True,8.312076807022095,True
21,1,10000,5000000,0.2054260150000573,True,10.610270500183105,True
22,2,10000,5000000,0.0614466667175293,True,13.039408445358276,True
23,3,10000,5000000,0.10557961463928223,True,45.49042248725891,True
24,0,10000,10000000,0.14513826370239258,True,16.246995449066162,True
25,1,10000,10000000,0.291047547999824,True,17.56102204322815,True
26,2,10000,10000000,0.12027239799499512,True,24.61684536933899,True
27,3,10000,10000000,0.20265889167785645,True,73.38210701942444,True
28,0,10000,10000000,0.149322509765625,True,16.10507297515869,True
29,1,10000,10000000,0.30707479400007287,True,17.692389726638794,True
30,2,10000,10000000,0.12005138397216797,True,24.694140434265137,True
31,3,10000,10000000,0.20461702346801758,True,74.53914427757263,True
32,0,10000,20000000,0.24742388725280762,True,32.07849836349487,True
33,1,10000,20000000,0.5021469789999173,True,32.25418210029602,True
34,2,10000,20000000,0.22252798080444336,True,45.971681118011475,True
35,3,10000,20000000,0.4165630340576172,True,145.37812972068787,True
36,0,10000,20000000,0.27060604095458984,True,31.704453468322754,True
37,1,10000,20000000,0.4157854060013051,True,33.1543128490448,True
38,2,10000,20000000,0.2169055938720703,True,46.00662183761597,True
39,3,10000,20000000,0.34149789810180664,True,110.03235483169556,True
40,0,10000,30000000,0.3409550189971924,True,47.379936933517456,True
41,1,10000,30000000,0.6033318730005703,True,46.22431445121765,True
42,2,10000,30000000,0.3039858341217041,True,70.0610511302948,True
43,3,10000,30000000,0.515343189239502,True,164.30298233032227,True
44,0,10000,30000000,0.31715917587280273,True,47.74464535713196,True
45,1,10000,30000000,0.6156892769977276,True,46.092650175094604,True
46,2,10000,30000000,0.32639575004577637,True,69.39179062843323,True
47,3,10000,30000000,0.5979714393615723,True,162.3678276538849,True
48,0,20000,200000,0.006726264953613281,True,0.9393825531005859,True
49,1,20000,200000,0.024389258000155678,True,1.1495130062103271,True
50,2,20000,200000,0.006867170333862305,True,1.2319166660308838,True
51,3,20000,200000,0.008012771606445312,True,4.865144968032837,True
52,0,20000,200000,0.006829500198364258,True,0.9414958953857422,True
