,method,n,m,timeGPU,checkGPU,timeCPU,checkCPU
0,0,100000,1000000,0.0389711856842041,True,4.84624457359314,True
1,1,100000,1000000,0.1413402579999996,True,5.783709764480591,True
2,2,100000,1000000,0.032434940338134766,True,11.63351035118103,True
3,3,100000,1000000,0.050360918045043945,True,26.938676118850708,True
4,0,100000,1000000,0.0318751335144043,True,4.800588369369507,True
5,1,100000,1000000,0.15370897700000796,True,5.877654790878296,True
6,2,100000,1000000,0.03339409828186035,True,11.717185020446777,True
7,3,100000,1000000,0.050627708435058594,True,26.44556951522827,True
8,0,100000,10000000,0.26700520515441895,True,21.230965852737427,True
9,1,100000,10000000,0.6256477310000719,True,35.98307538032532,True
10,2,100000,10000000,0.13388681411743164,True,38.3661093711853,True
11,3,100000,10000000,0.3470592498779297,True,173.15362572669983,True
12,0,100000,10000000,0.2704596519470215,True,21.310447454452515,True
13,1,100000,10000000,0.7087699989997418,True,34.50531029701233,True
14,2,100000,10000000,0.1338655948638916,True,40.76022124290466,True
15,3,100000,10000000,0.3776514530181885,True,201.09891080856323,True
