,method,n,m,timeGPU,checkGPU,timeCPU,checkCPU
0,0,1000,40000,0.006011009216308594,True,0.11967921257019043,True
1,1,1000,40000,0.0,True,0.17058563232421875,True
2,2,1000,40000,0.003988027572631836,True,0.19007110595703125,True
3,3,1000,40000,0.003988027572631836,True,1.1018702983856201,True
4,0,10000,800000,0.038904666900634766,True,1.765653371810913,True
5,1,10000,800000,0.0625,True,2.6553966999053955,True
6,2,10000,800000,0.029909372329711914,True,2.502540349960327,True
7,3,10000,800000,0.06461143493652344,True,13.16235089302063,True
8,0,20000,200000,0.013961076736450195,True,2.107494354248047,True
9,1,20000,200000,0.03125,True,1.005019187927246,True
10,2,20000,200000,0.015915870666503906,True,1.4566221237182617,True
11,3,20000,200000,0.025920629501342773,True,5.515043497085571,True
12,0,30000,300000,0.015956640243530273,True,1.46555495262146,True
13,1,30000,300000,0.03125,True,1.720921277999878,True
14,2,30000,300000,0.02303314208984375,True,2.387848138809204,True
15,3,30000,300000,0.033872127532958984,True,8.441442489624023,True
