,method,n,m,timeGPU,checkGPU,timeCPU,checkCPU,speedup
272,0,3000,1500000,0.024645805,TRUE,2.509982347,TRUE,101.842172
273,1,3000,1500000,0.061651559,TRUE,2.74910593,TRUE,44.59102049
274,2,3000,1500000,0.019757271,TRUE,3.911276579,TRUE,197.9664406
275,3,3000,1500000,0.02758193,TRUE,13.82159448,TRUE,501.1104878
276,0,3000,1500000,0.024366379,TRUE,2.504518032,TRUE,102.7858121
277,1,3000,1500000,0.070583488,TRUE,2.759874344,TRUE,39.10084953
278,2,3000,1500000,0.021249533,TRUE,3.87688303,TRUE,182.4455664
279,3,3000,1500000,0.02734375,TRUE,13.54197025,TRUE,495.2491978
280,0,3000,2400000,0.036428928,TRUE,3.95585537,TRUE,108.5910442
281,1,3000,2400000,0.091546169,TRUE,4.07981658,TRUE,44.56567243
282,2,3000,2400000,0.030123234,TRUE,5.527249098,TRUE,183.4879062
283,3,3000,2400000,0.041189432,TRUE,13.20017695,TRUE,320.4748468
284,0,3000,2400000,0.036915064,TRUE,3.953016996,TRUE,107.0841164
285,1,3000,2400000,0.084102869,TRUE,4.271339893,TRUE,50.787089
286,2,3000,2400000,0.0299716,TRUE,5.72217536,TRUE,190.9199189
287,3,3000,2400000,0.046388388,TRUE,17.56026053,TRUE,378.5486285
288,0,3000,2700000,0.04023695,TRUE,4.442107201,TRUE,110.3987059
289,1,3000,2700000,0.093869005,TRUE,4.762348413,TRUE,50.73398204
290,2,3000,2700000,0.033178091,TRUE,6.152936697,TRUE,185.4517997
291,3,3000,2700000,0.048486948,TRUE,14.55279398,TRUE,300.138379
292,0,3000,2700000,0.042038202,TRUE,4.398075104,TRUE,104.620913
293,1,3000,2700000,0.087452562,TRUE,5.035384893,TRUE,57.57847201
294,2,3000,2700000,0.033177137,TRUE,6.340060949,TRUE,191.0972872
295,3,3000,2700000,0.044300795,TRUE,19.79522467,TRUE,446.8367858
296,0,3000,3000000,0.044705868,TRUE,4.839698553,TRUE,108.2564503
297,1,3000,3000000,0.100980567,TRUE,5.162480593,TRUE,51.1235057
298,2,3000,3000000,0.036576748,TRUE,6.829686165,TRUE,186.7220723
299,3,3000,3000000,0.053739548,TRUE,16.64850736,TRUE,309.7999157
300,0,3000,3000000,0.043719053,TRUE,4.867928028,TRUE,111.3456872
301,1,3000,3000000,0.100875278,TRUE,4.862381935,TRUE,48.20191856
302,2,3000,3000000,0.036545038,TRUE,6.923506498,TRUE,189.451341
303,3,3000,3000000,0.054699898,TRUE,21.01799679,TRUE,384.2419757
304,0,3000,6000000,0.079118967,TRUE,9.624604225,TRUE,121.6472432
305,1,3000,6000000,0.145534658,TRUE,8.687865019,TRUE,59.69619291
306,2,3000,6000000,0.070623398,TRUE,13.96462893,TRUE,197.733745
307,3,3000,6000000,0.109337568,TRUE,33.19512558,TRUE,303.6021937
308,0,3000,6000000,0.082678318,TRUE,9.556958199,TRUE,115.5920733
309,1,3000,6000000,0.145824932,TRUE,9.17188406,TRUE,62.89654268
310,2,3000,6000000,0.070934534,TRUE,13.73147082,TRUE,193.5794885
311,3,3000,6000000,0.109723568,TRUE,32.98391271,TRUE,300.6091883
312,0,3000,7500000,0.100015879,TRUE,11.93539381,TRUE,119.3349893
313,1,3000,7500000,0.169742675,TRUE,10.96564651,TRUE,64.60158888
314,2,3000,7500000,0.087117195,TRUE,17.15921807,TRUE,196.9670631
315,3,3000,7500000,0.135808945,TRUE,41.41226912,TRUE,304.9303505
316,0,3000,7500000,0.096816063,TRUE,11.87213039,TRUE,122.6256267
317,1,3000,7500000,0.176879363,TRUE,11.3225131,TRUE,64.01262935
318,2,3000,7500000,0.088066339,TRUE,17.33710909,TRUE,196.8641957
319,3,3000,7500000,0.160914898,TRUE,41.05378604,TRUE,255.1273162
320,0,5000,50000,0.002132416,TRUE,0.229977131,TRUE,107.8481664
321,1,5000,50000,0.005846626,TRUE,0.257348776,TRUE,44.01663042
322,2,5000,50000,0.002292395,TRUE,0.261348009,TRUE,114.0065523
323,3,5000,50000,0.001784563,TRUE,0.922555923,TRUE,516.9645959
324,0,5000,50000,0.001995564,TRUE,0.228588104,TRUE,114.5481481
325,1,5000,50000,0.005763056,TRUE,0.281350613,TRUE,48.81969091
326,2,5000,50000,0.002439022,TRUE,0.262488604,TRUE,107.6204301
327,3,5000,50000,0.001814604,TRUE,1.092203617,TRUE,601.8964656
328,0,5000,150000,0.00459528,TRUE,0.439291239,TRUE,95.59619176
329,1,5000,150000,0.011875738,TRUE,0.520775318,TRUE,43.85203834
330,2,5000,150000,0.003365278,TRUE,0.553954601,TRUE,164.6088558
331,3,5000,150000,0.004478931,TRUE,2.42440176,TRUE,541.2902161
332,0,5000,150000,0.005186558,TRUE,0.444514036,TRUE,85.70501977
333,1,5000,150000,0.014248707,TRUE,0.641511679,TRUE,45.02244862
334,2,5000,150000,0.003404379,TRUE,0.554745674,TRUE,162.9506268
335,3,5000,150000,0.004252434,TRUE,2.735187531,TRUE,643.205203
336,0,5000,300000,0.008506298,TRUE,0.706894875,TRUE,83.10252817
337,1,5000,300000,0.022026769,TRUE,0.911971092,TRUE,41.4028536
338,2,5000,300000,0.00544858,TRUE,0.930667639,TRUE,170.8092154
339,3,5000,300000,0.008182764,TRUE,4.45429492,TRUE,544.350893
340,0,5000,300000,0.008462667,TRUE,0.704265833,TRUE,83.22031272
341,1,5000,300000,0.019883078,TRUE,0.943217516,TRUE,47.43820429
342,2,5000,300000,0.005541801,TRUE,0.952817917,TRUE,171.9328859
343,3,5000,300000,0.007803917,TRUE,3.858083487,TRUE,494.377826
344,0,5000,400000,0.011125088,TRUE,0.875187874,TRUE,78.66795251
345,1,5000,400000,0.026371151,TRUE,1.2294631,TRUE,46.62151836
346,2,5000,400000,0.006977558,TRUE,1.187635899,TRUE,170.2079546
347,3,5000,400000,0.009588718,TRUE,5.087270498,TRUE,530.5474912
348,0,5000,400000,0.010878325,TRUE,0.880863667,TRUE,80.97420387
349,1,5000,400000,0.026186095,TRUE,1.265747547,TRUE,48.33662855
350,2,5000,400000,0.006906748,TRUE,1.201928377,TRUE,174.0223342
351,3,5000,400000,0.01062417,TRUE,6.647335529,TRUE,625.6804381
352,0,5000,500000,0.012492418,TRUE,1.042972565,TRUE,83.48844399
353,1,5000,500000,0.024667306,TRUE,1.393186569,TRUE,56.47907271
354,2,5000,500000,0.00840044,TRUE,1.439683199,TRUE,171.3818755
355,3,5000,500000,0.011403322,TRUE,6.450853825,TRUE,565.6995128
356,0,5000,500000,0.012640953,TRUE,1.047044039,TRUE,82.82951716
357,1,5000,500000,0.031740611,TRUE,1.43599534,TRUE,45.24157838
358,2,5000,500000,0.008217096,TRUE,1.383024216,TRUE,168.3105759
359,3,5000,500000,0.011557817,TRUE,7.228317499,TRUE,625.4050581
360,0,5000,600000,0.014781713,TRUE,1.201482773,TRUE,81.28169809
361,1,5000,600000,0.037673167,TRUE,1.64936924,TRUE,43.78100837
362,2,5000,600000,0.009818792,TRUE,1.693791151,TRUE,172.5050385
363,3,5000,600000,0.013627052,TRUE,7.795698166,TRUE,572.0751627
364,0,5000,600000,0.014895439,TRUE,1.203885078,TRUE,80.8223958
365,1,5000,600000,0.038806415,TRUE,1.626327753,TRUE,41.90873476
366,2,5000,600000,0.009806633,TRUE,1.716099977,TRUE,174.9938004
367,3,5000,600000,0.013587713,TRUE,7.793092728,TRUE,573.5396817
368,0,5000,800000,0.017753124,TRUE,1.541307211,TRUE,86.81892778
369,1,5000,800000,0.05906654,TRUE,1.921059847,TRUE,32.52365632
370,2,5000,800000,0.012054443,TRUE,2.071783543,TRUE,171.8688687
371,3,5000,800000,0.01842308,TRUE,10.2436018,TRUE,556.0200331
372,0,5000,800000,0.018474102,TRUE,1.534834385,TRUE,83.08032419
373,1,5000,800000,0.058609041,TRUE,1.99684,TRUE,34.07051141
374,2,5000,800000,0.012171984,TRUE,2.039322138,TRUE,167.5422992
375,3,5000,800000,0.017799377,TRUE,10.20019794,TRUE,573.0648709
376,0,5000,1000000,0.021060467,TRUE,1.866434097,TRUE,88.62263681
377,1,5000,1000000,0.06215594,TRUE,2.256746769,TRUE,36.30782141
378,2,5000,1000000,0.014407396,TRUE,2.53555727,TRUE,175.9899717
