id,n,m,avgD,method,GPU_time_cost(s),dist:GPU(method)==singleCPU(dij)?,singleCPU_time_cost(s),dist:singleCPU(method)==singleCPU(dij)?,singleCPU_time_cost/GPU_time_cost
204,3200,6400,2,dij,0.0105,TRUE,0.0641,TRUE,6.104761905
205,3200,6400,2,spfa,0.0016,TRUE,0.0495,TRUE,30.9375
206,3200,6400,2,delta,0.0059,TRUE,0.0897,TRUE,15.20338983
207,3200,6400,2,edge,0.0084,TRUE,0.1538,TRUE,18.30952381
208,3200,12800,4,dij,0.0107,TRUE,0.091,TRUE,8.504672897
209,3200,12800,4,spfa,0.0021,TRUE,0.0796,TRUE,37.9047619
210,3200,12800,4,delta,0.0078,TRUE,0.1137,TRUE,14.57692308
211,3200,12800,4,edge,0.0081,TRUE,0.2409,TRUE,29.74074074
212,3200,25600,8,dij,0.0112,TRUE,0.1299,TRUE,11.59821429
213,3200,25600,8,spfa,0.0029,TRUE,0.1285,TRUE,44.31034483
214,3200,25600,8,delta,0.0106,TRUE,0.156,TRUE,14.71698113
215,3200,25600,8,edge,0.0048,TRUE,0.3776,TRUE,78.66666667
216,3200,51200,16,dij,0.0122,TRUE,0.1873,TRUE,15.35245902
217,3200,51200,16,spfa,0.0048,TRUE,0.2537,TRUE,52.85416667
218,3200,51200,16,delta,0.006,TRUE,0.2374,TRUE,39.56666667
219,3200,51200,16,edge,0.062,TRUE,1.1005,TRUE,17.75
220,3200,102400,32,dij,0.0165,TRUE,0.329,TRUE,19.93939394
221,3200,102400,32,spfa,0.0078,TRUE,0.4037,TRUE,51.75641026
222,3200,102400,32,delta,0.0465,TRUE,0.3972,TRUE,8.541935484
223,3200,102400,32,edge,0.0333,TRUE,1.6745,TRUE,50.28528529
224,3200,204800,64,dij,0.0257,TRUE,0.5003,TRUE,19.46692607
225,3200,204800,64,spfa,0.0115,TRUE,0.6987,TRUE,60.75652174
226,3200,204800,64,delta,0.0509,TRUE,0.6314,TRUE,12.40471513
227,3200,204800,64,edge,0.0151,TRUE,3.298,TRUE,218.410596
228,3200,409600,128,dij,0.02,TRUE,0.7904,TRUE,39.52
229,3200,409600,128,spfa,0.0219,TRUE,1.2,TRUE,54.79452055
230,3200,409600,128,delta,0.0173,TRUE,1.1489,TRUE,66.41040462
231,3200,409600,128,edge,0.0182,TRUE,5.1792,TRUE,284.5714286
232,3200,819200,256,dij,0.1092,TRUE,1.4648,TRUE,13.41391941
233,3200,819200,256,spfa,0.0306,TRUE,2.0225,TRUE,66.09477124
234,3200,819200,256,delta,0.0412,TRUE,2.1091,TRUE,51.19174757
235,3200,819200,256,edge,0.0397,TRUE,7.3368,TRUE,184.8060453
236,3200,1638400,512,dij,0.0504,TRUE,2.7584,TRUE,54.73015873
237,3200,1638400,512,spfa,0.0614,TRUE,3.3146,TRUE,53.98371336
238,3200,1638400,512,delta,0.037,TRUE,4.2976,TRUE,116.1513514
239,3200,1638400,512,edge,0.0978,TRUE,14.5325,TRUE,148.5940695
240,6400,6400,1,dij,0.0269,TRUE,0.097,TRUE,3.605947955
241,6400,6400,1,spfa,0.0025,TRUE,0.0405,TRUE,16.2
242,6400,6400,1,delta,0.0133,TRUE,0.1686,TRUE,12.67669173
243,6400,6400,1,edge,0.0556,TRUE,0.1047,TRUE,1.883093525
244,6400,12800,2,dij,0.0351,TRUE,0.1709,TRUE,4.868945869
245,6400,12800,2,spfa,0.0028,TRUE,0.0996,TRUE,35.57142857
